stats
Stat,Link 1,Link 2,Link 3,Link 4,Link 5
Access to Energy,https://ourworldindata.org/grapher/number-with-without-clean-cooking-fuels,https://ourworldindata.org/grapher/number-without-clean-cooking-fuel,https://ourworldindata.org/grapher/people-without-clean-cooking-fuels-region
Accountability & Transparency,https://ourworldindata.org/grapher/countries-that-adopt-guarantees-for-public-access-to-information
Age Structure,https://ourworldindata.org/grapher/age-dependency-breakdown,https://ourworldindata.org/grapher/age-dependency-ratio-of-working-age-population,https://ourworldindata.org/grapher/age-dependency-ratio-projected-to-2100,https://ourworldindata.org/grapher/child-dependency-ratio-the-ratio-between-under-19-year-olds-and-20-to-69-year-olds,https://ourworldindata.org/grapher/global-demand-for-education-world-population-and-projected-growth-to-2100-by-age-group,https://ourworldindata.org/grapher/world-population-and-projected-growth-to-2100-by-age-group-young-vs-working-age,https://ourworldindata.org/grapher/median-age-vs-children-per-woman,https://ourworldindata.org/grapher/under-5-population,https://ourworldindata.org/grapher/age-dependency-ratio-old,https://ourworldindata.org/grapher/historic-and-un-pop-projections-by-age,https://ourworldindata.org/grapher/population-by-broad-age-group,https://ourworldindata.org/grapher/population-by-age-group-to-2100,https://ourworldindata.org/grapher/population-young-working-old,https://ourworldindata.org/grapher/population-growth-rate-vs-median-age,https://ourworldindata.org/grapher/population-under-five-years-old,https://ourworldindata.org/grapher/population-younger-than-15-years,https://ourworldindata.org/grapher/projected-change-dependency-ratios,https://ourworldindata.org/grapher/projected-population-by-age-cohort,https://ourworldindata.org/grapher/size-of-young-working-elderly-populations,https://ourworldindata.org/grapher/dependency-age-groups-to-2100,https://ourworldindata.org/grapher/younger-than-15-projection-until-2100-un,https://ourworldindata.org/grapher/age-dependency-ratio-young-of-working-age-population
Agricultural Employment,https://ourworldindata.org/grapher/agriculture-value-added-per-worker-wdi,https://ourworldindata.org/grapher/agriculture-value-added-per-worker-vs-gdp-per-capita,https://ourworldindata.org/grapher/income-of-large-scale-food-producers,https://ourworldindata.org/grapher/income-small-scale-food-producers,https://ourworldindata.org/grapher/employment-in-agriculture-vs-gdp-per-capita,https://ourworldindata.org/grapher/GDP-vs-agriculture-employment,https://ourworldindata.org/grapher/number-of-people-employed-in-agriculture-since-1800,https://ourworldindata.org/grapher/share-of-agricultural-landowners-who-are-female,https://ourworldindata.org/grapher/value-added-in-the-agricultural-sector-as-of-gdp-vs-gdp-per-capita,https://ourworldindata.org/grapher/GDP-vs-agriculture-GDP,https://ourworldindata.org/grapher/share-of-agriculture-in-total-employment,https://ourworldindata.org/grapher/share-of-employed-women-working-in-agriculture-vs-gdp-per-capita,https://ourworldindata.org/grapher/share-of-employment-in-agriculture-industry-and-services,https://ourworldindata.org/grapher/share-of-the-labor-force-employed-in-agriculture,https://ourworldindata.org/grapher/share-labor-force-agriculture
Agricultural Production,https://ourworldindata.org/grapher/apple-production,https://ourworldindata.org/grapher/average-farm-size,https://ourworldindata.org/grapher/avocado-production,https://ourworldindata.org/grapher/banana-production-by-region,https://ourworldindata.org/grapher/banana-production,https://ourworldindata.org/grapher/barley-production,https://ourworldindata.org/grapher/bean-production,https://ourworldindata.org/grapher/cashew-nut-production,https://ourworldindata.org/grapher/cassava-production,https://ourworldindata.org/grapher/cereal-production,https://ourworldindata.org/grapher/cereal-distribution-to-uses,https://ourworldindata.org/grapher/chicken-meat-production,https://ourworldindata.org/grapher/cocoa-bean-production,https://ourworldindata.org/grapher/cocoa-beans-production-by-region,https://ourworldindata.org/grapher/coffee-bean-production,https://ourworldindata.org/grapher/coffee-production-by-region,https://ourworldindata.org/grapher/crop-production-in-england-over-the-long-term-million-tonnes,https://ourworldindata.org/grapher/daily-hempseed-production,https://ourworldindata.org/grapher/crop-allocation-farm-size,https://ourworldindata.org/grapher/global-crop-production-by-farm-size,https://ourworldindata.org/grapher/grapes-production,https://ourworldindata.org/grapher/maize-production,https://ourworldindata.org/grapher/milk-production,https://ourworldindata.org/grapher/palm-oil-production,https://ourworldindata.org/grapher/orange-production,https://ourworldindata.org/grapher/pea-production,https://ourworldindata.org/grapher/potato-production,https://ourworldindata.org/grapher/rapeseed-production,https://ourworldindata.org/grapher/rice-production,https://ourworldindata.org/grapher/rice-production-by-region,https://ourworldindata.org/grapher/rye-production,https://ourworldindata.org/grapher/sesame-seed-production,https://ourworldindata.org/grapher/share-cereals-animal-feed,https://ourworldindata.org/grapher/cereal-allocation-by-country,https://ourworldindata.org/grapher/share-cereal-human-food,https://ourworldindata.org/grapher/cereals-human-food-vs-gdp,https://ourworldindata.org/grapher/share-cereals-industrial-uses,https://ourworldindata.org/grapher/soy-production-yield-area,https://ourworldindata.org/grapher/soybean-production,https://ourworldindata.org/grapher/soybean-production-and-use,https://ourworldindata.org/grapher/sugar-beet-production,https://ourworldindata.org/grapher/sugar-cane-production,https://ourworldindata.org/grapher/sunflower-seed-production,https://ourworldindata.org/grapher/sweet-potato-production,https://ourworldindata.org/grapher/tea-production,https://ourworldindata.org/grapher/tea-production-by-region,https://ourworldindata.org/grapher/tobacco-production,https://ourworldindata.org/grapher/tomato-production,https://ourworldindata.org/grapher/value-of-agricultural-production,https://ourworldindata.org/grapher/wheat-production,https://ourworldindata.org/grapher/wine-production,https://ourworldindata.org/grapher/yams-production
Agricultural Regulation & Policy,https://ourworldindata.org/grapher/agricultural-export-subsidies,https://ourworldindata.org/grapher/agricultural-general-services-support,https://ourworldindata.org/grapher/agricultural-producer-support,https://ourworldindata.org/grapher/agriculture-orientation-index,https://ourworldindata.org/grapher/total-financial-assistance-and-flows-for-agriculture-by-recipient
Air Pollution,https://ourworldindata.org/grapher/absolute-number-of-deaths-from-ambient-particulate-air-pollution,https://ourworldindata.org/grapher/air-pollutant-emissions,https://ourworldindata.org/grapher/pollution-deaths-from-fossil-fuels,https://ourworldindata.org/grapher/air-pollution-vs-gdp-per-capita,https://ourworldindata.org/grapher/air-pollution-london-vs-delhi,https://ourworldindata.org/grapher/death-rate-from-air-pollution-per-100000,https://ourworldindata.org/grapher/death-rates-from-ambient-particulate-air-pollution,https://ourworldindata.org/grapher/death-rate-from-pm25-vs-pm25-concentration,https://ourworldindata.org/grapher/outdoor-pollution-rate-vs-gdp,https://ourworldindata.org/grapher/death-rate-by-source-from-air-pollution,https://ourworldindata.org/grapher/death-rates-from-air-pollution,https://ourworldindata.org/grapher/death-rates-total-air-pollution,https://ourworldindata.org/grapher/deaths-air-pollution-vs-gdp,https://ourworldindata.org/grapher/ambient-pollution-death-rates-2017-1990,https://ourworldindata.org/grapher/deaths-from-household-and-outdoor-air-pollution,https://ourworldindata.org/grapher/annual-deaths-from-outdoor-air-pollution-by-region,https://ourworldindata.org/grapher/number-outdoor-pollution-deaths-by-age,https://ourworldindata.org/grapher/dalys-particulate-matter,https://ourworldindata.org/grapher/emissions-of-air-pollutants,https://ourworldindata.org/grapher/emissions-of-air-pollutants-oecd,https://ourworldindata.org/grapher/emissions-of-particulate-matter,https://ourworldindata.org/grapher/PM25-air-pollution,https://ourworldindata.org/grapher/global-so-emissions,https://ourworldindata.org/grapher/so-emissions-by-world-region-in-million-tonnes,https://ourworldindata.org/grapher/deaths-from-air-pollution,https://ourworldindata.org/grapher/total-deaths-from-air-pollution,https://ourworldindata.org/grapher/air-pollution-deaths-country,https://ourworldindata.org/grapher/absolute-number-of-deaths-from-outdoor-air-pollution,https://ourworldindata.org/grapher/outdoor-pollution-death-rate,https://ourworldindata.org/grapher/outdoor-air-pollution-death-rate-vs-gdp,https://ourworldindata.org/grapher/outdoor-pollution-rates-by-age,https://ourworldindata.org/grapher/outdoor-air-pollution-deaths-by-age,https://ourworldindata.org/grapher/outdoor-pollution-deaths-1990-2017,https://ourworldindata.org/grapher/ozone-o3-concentration-in-ppb,https://ourworldindata.org/grapher/pm-exposure-1990-2017,https://ourworldindata.org/grapher/share-deaths-air-pollution,https://ourworldindata.org/grapher/share-deaths-outdoor-pollution,https://ourworldindata.org/grapher/exposure-pollution-above-who-targets,https://ourworldindata.org/grapher/share-above-who-pollution-guidelines,https://ourworldindata.org/grapher/sources-of-air-pollution-in-the-uk,https://ourworldindata.org/grapher/so2-emissions,https://ourworldindata.org/grapher/so-emissions-tonnes-per-year,https://ourworldindata.org/grapher/so-emissions-per-capita-tonnes-per-year,https://ourworldindata.org/grapher/sulphur-oxide-emissions
Alcohol Consumption,https://ourworldindata.org/grapher/alcohol-consumption-by-tourists,https://ourworldindata.org/grapher/alcohol-by-type-1890,https://ourworldindata.org/grapher/per-capita-alcohol-1890,https://ourworldindata.org/grapher/total-alcohol-consumption-per-capita-litres-of-pure-alcohol,https://ourworldindata.org/grapher/alcohol-consumption-per-person-us,https://ourworldindata.org/grapher/alcohol-consumption-vs-gdp-per-capita,https://ourworldindata.org/grapher/alcohol-expenditure,https://ourworldindata.org/grapher/alcohol-expenditure-as-share-of-total,https://ourworldindata.org/grapher/alcohol-attributable-fraction-of-mortality,https://ourworldindata.org/grapher/alcohol-consumption-by-15-19-year-old-males-vs-females,https://ourworldindata.org/grapher/alcohol-consumption-in-15-19-year-olds,https://ourworldindata.org/grapher/beer-as-share-alcohol-consumption,https://ourworldindata.org/grapher/beer-consumption-per-person,https://ourworldindata.org/grapher/dalys-from-alcohol-use-disorders-by-age,https://ourworldindata.org/grapher/death-rates-from-alcohol-and-drug-use-disorders,https://ourworldindata.org/grapher/death-rates-from-alcohol-use-disorders,https://ourworldindata.org/grapher/deaths-from-alcohol-and-drug-use-disorders,https://ourworldindata.org/grapher/deaths-from-alcohol-use-disorders,https://ourworldindata.org/grapher/mental-health-as-risk-for-alcohol-dependency,https://ourworldindata.org/grapher/number-with-alcohol-use-disorders,https://ourworldindata.org/grapher/number-with-alcohol-disorders-by-region,https://ourworldindata.org/grapher/number-with-alcohol-use-disorders-country,https://ourworldindata.org/grapher/per-capita-alcohol-consumption-kilograms-per-year,https://ourworldindata.org/grapher/prevalence-of-alcohol-use-disorders-by-age,https://ourworldindata.org/grapher/prevalence-of-alcohol-disorders-males-vs-females,https://ourworldindata.org/grapher/share-who-drank-on-5-or-more-days-by-income,https://ourworldindata.org/grapher/share-of-adults-who-drank-alcohol-in-last-year,https://ourworldindata.org/grapher/share-who-drank-drank-usa,https://ourworldindata.org/grapher/share-who-have-not-drank-alcohol-in-last-year,https://ourworldindata.org/grapher/share-of-alcohol-in-total-household-consumption,https://ourworldindata.org/grapher/alcohol-related-crimes-of-all-crimes,https://ourworldindata.org/grapher/share-of-demographic-who-dont-drink,https://ourworldindata.org/grapher/share-of-drinkers-who-binged,https://ourworldindata.org/grapher/drinkers-had-a-heavy-session-in-past-30-days,https://ourworldindata.org/grapher/males-vs-females-who-drank-alcohol-in-last-year,https://ourworldindata.org/grapher/share-with-alcohol-use-disorders-receiving-treatment,https://ourworldindata.org/grapher/share-who-drank-alcohol-last-week,https://ourworldindata.org/grapher/share-of-population-who-never-drink-alcohol,https://ourworldindata.org/grapher/share-with-alcohol-use-disorder-vs-alcohol-consumption,https://ourworldindata.org/grapher/share-with-alcohol-use-disorders,https://ourworldindata.org/grapher/population-with-alcohol-use-disorders,https://ourworldindata.org/grapher/share-alcohol-disorder,https://ourworldindata.org/grapher/road-traffic-deaths-to-alcohol,https://ourworldindata.org/grapher/share-who-dont-drink-alcohol,https://ourworldindata.org/grapher/share-of-the-population-with-alcohol-use-disorders,https://ourworldindata.org/grapher/spirits-as-share-total-alcohol-consumption,https://ourworldindata.org/grapher/spirits-consumption-per-person,https://ourworldindata.org/grapher/standard-drink-measure,https://ourworldindata.org/grapher/alcohol-disorders-dalys-age-standardized-rate,https://ourworldindata.org/grapher/wine-as-share-alcohol-consumption,https://ourworldindata.org/grapher/wine-consumption-per-person
Animal Rights,https://ourworldindata.org/grapher/eggs-free-range,https://ourworldindata.org/grapher/egg-production-system
Antibiotics,https://ourworldindata.org/grapher/antibiotic-use-in-livestock,https://ourworldindata.org/grapher/antibiotic-use-in-livestock-in-europe,https://ourworldindata.org/grapher/antibiotic-use-in-livestock-vs-gdp-per-capita,https://ourworldindata.org/grapher/antibiotic-use-in-livestock-vs-meat-supply-per-capita,https://ourworldindata.org/grapher/does-livestock-antibiotic-use-exceed-suggested-target,https://ourworldindata.org/grapher/reduction-global-antibiotic-use
Biodiversity,https://ourworldindata.org/grapher/african-elephant-carcass-ratio,https://ourworldindata.org/grapher/change-share-cropland-pollinator-dependent,https://ourworldindata.org/grapher/fish-catch-region,https://ourworldindata.org/grapher/black-rhinos,https://ourworldindata.org/grapher/bird-populations-eu,https://ourworldindata.org/grapher/vulnerability-pollinator-decline,https://ourworldindata.org/grapher/changes-uk-butterfly,https://ourworldindata.org/grapher/countries-to-the-international-treaty-on-plant-genetic-resources,https://ourworldindata.org/grapher/countries-that-are-parties-to-the-nagoya-protocol,https://ourworldindata.org/grapher/coverage-by-protected-areas-of-important-sites-for-mountain-biodiversity,https://ourworldindata.org/grapher/drivers-of-recovery-in-european-bird-populations,https://ourworldindata.org/grapher/endemic-amphibian-species-by-country,https://ourworldindata.org/grapher/endemic-bird-species-by-country,https://ourworldindata.org/grapher/endemic-mammal-species-by-country,https://ourworldindata.org/grapher/endemic-reef-forming-coral-species,https://ourworldindata.org/grapher/fish-species-threatened,https://ourworldindata.org/grapher/fish-stocks-taxa,https://ourworldindata.org/grapher/fish-stocks-by-region,https://ourworldindata.org/grapher/fishing-pressure-by-taxa,https://ourworldindata.org/grapher/fishing-pressure-by-region,https://ourworldindata.org/grapher/biomass-vs-abundance-taxa,https://ourworldindata.org/grapher/biomass-fish-stocks-taxa,https://ourworldindata.org/grapher/biomass-fish-stocks-region,https://ourworldindata.org/grapher/indian-rhinos,https://ourworldindata.org/grapher/javan-rhinos,https://ourworldindata.org/grapher/global-living-planet-index,https://ourworldindata.org/grapher/living-planet-index-by-region,https://ourworldindata.org/grapher/mountain-green-cover-index,https://ourworldindata.org/grapher/african-elephants,https://ourworldindata.org/grapher/number-of-asian-elephants,https://ourworldindata.org/grapher/number-of-accessions-of-plant-genetic-resources-secured-in-conservation-facilities,https://ourworldindata.org/grapher/coral-bleaching-events,https://ourworldindata.org/grapher/bleaching-events-enso,https://ourworldindata.org/grapher/proportion-of-animal-breeds-genetic-conservation,https://ourworldindata.org/grapher/number-of-rhinos-poached,https://ourworldindata.org/grapher/number-seized-rhino-horns,https://ourworldindata.org/grapher/severe-bleaching-events-enso,https://ourworldindata.org/grapher/threatened-endemic-mammal-species,https://ourworldindata.org/grapher/whale-catch,https://ourworldindata.org/grapher/whales-killed-per-decade,https://ourworldindata.org/grapher/proportion-of-important-sites-for-freshwater-biodiversity-covered-by-protected-areas,https://ourworldindata.org/grapher/proportion-of-local-breeds-at-risk-of-extinction,https://ourworldindata.org/grapher/protected-area-marine-and-terrestrial,https://ourworldindata.org/grapher/red-list-index,https://ourworldindata.org/grapher/share-cropland-pollinator-dependent,https://ourworldindata.org/grapher/protected-terrestrial-biodiversity-sites,https://ourworldindata.org/grapher/terrestrial-protected-areas,https://ourworldindata.org/grapher/marine-protected-areas,https://ourworldindata.org/grapher/share-threatened-species,https://ourworldindata.org/grapher/share-species-traded-pets,https://ourworldindata.org/grapher/share-species-traded-products,https://ourworldindata.org/grapher/southern-white-rhinos,https://ourworldindata.org/grapher/iwc-status,https://ourworldindata.org/grapher/fish-stocks-within-sustainable-levels,https://ourworldindata.org/grapher/sumatran-rhinos,https://ourworldindata.org/grapher/whale-populations,https://ourworldindata.org/grapher/threatened-endemic-bird-species,https://ourworldindata.org/grapher/threatened-endemic-coral,https://ourworldindata.org/grapher/threatened-mammal-species,https://ourworldindata.org/grapher/total-oda-for-biodiversity-by-donor,https://ourworldindata.org/grapher/total-oda-for-biodiversity-by-recipient,https://ourworldindata.org/grapher/uk-butterflies-long-term-species,https://ourworldindata.org/grapher/uk-butterflies-short-term-species,https://ourworldindata.org/grapher/seized-rhino-horns,https://ourworldindata.org/grapher/iwc-members
Books,https://ourworldindata.org/grapher/new-books-per-million,https://ourworldindata.org/grapher/number-of-published-titles
